Sample	PDid	cell_type	Exposure	SBS1+SBS5	SBSBlood	SBS7a	SBS9	SBSA	SBSB	SBSC	SBSD	SBSE	SBSF	SBSG	SBSH	SBSUnassigned	SBSNA
PD47696b_ds0003	PD47696	Naive T cells	Chemo	3483	1822	0	0	0	0	0	0	0	0	0	0	54	0
PD47696b_ds0004	PD47696	Monocytes	Chemo	530	1434	0	0	0	0	0	0	0	0	0	0	0	0
PD47697b_ds0001	PD47697	B cells	Chemo	607	1128	0	347	0	0	0	0	0	0	87	0	0	0
PD47697b_ds0002	PD47697	Memory T cells	Chemo	1066	1421	614	0	0	0	0	0	0	0	129	0	0	0
PD47697b_ds0003	PD47697	Naive T cells	Chemo	1386	1359	0	0	0	0	0	0	0	0	28	0	0	0
PD47697b_ds0004	PD47697	Monocytes	Chemo	357	1196	0	0	0	0	0	0	0	0	0	0	0	0
PD47698b_ds0001	PD47698	B cells	Chemo	935	1176	0	633	0	0	0	0	0	0	271	0	0	0
PD47698b_ds0002	PD47698	Memory T cells	Chemo	1185	1504	912	0	0	0	0	0	0	0	957	0	0	0
PD47698b_ds0003	PD47698	Naive T cells	Chemo	1688	1426	0	0	0	0	0	0	0	0	638	0	0	0
PD47698b_ds0004	PD47698	Monocytes	Chemo	387	1103	0	0	0	0	0	0	0	0	0	0	0	0
PD47699b_ds0001	PD47699	B cells	Chemo	629	1226	0	472	0	0	0	346	252	0	220	0	0	0
PD47699b_ds0002	PD47699	Memory T cells	Chemo	1844	1501	300	0	0	0	0	300	129	0	214	0	0	0
PD47699b_ds0003	PD47699	Naive T cells	Chemo	2468	1887	0	0	0	0	0	97	194	0	194	0	0	0
PD47699b_ds0004	PD47699	Monocytes	Chemo	486	1483	0	0	0	0	0	185	162	0	0	0	0	0
PD47700b_ds0001	PD47700	B cells	Chemo	486	1099	0	0	0	0	0	0	0	54	144	0	18	0
PD47700b_ds0002	PD47700	Memory T cells	Chemo	1363	1258	594	0	0	0	0	0	0	0	280	0	0	0
PD47700b_ds0003	PD47700	Naive T cells	Chemo	941	1341	0	0	0	0	0	0	0	0	71	0	0	0
PD47700b_ds0004	PD47700	Monocytes	Chemo	373	1288	0	0	0	0	0	0	0	0	0	0	34	0
PD47701b_ds0001	PD47701	B cells	Chemo	569	1467	0	0	0	0	0	0	0	0	131	0	22	0
PD47701b_ds0002	PD47701	Memory T cells	Chemo	1112	1407	393	0	0	0	0	0	0	0	360	0	0	0
PD47701b_ds0003	PD47701	Naive T cells	Chemo	828	1220	0	0	0	0	0	0	0	0	131	0	0	0
PD47701b_ds0004	PD47701	Monocytes	Chemo	544	1470	0	0	0	0	0	0	0	0	0	0	0	0
