Sample	Patient	Method
PD40521_26	PD40521	colonies
PD40521_7	PD40521	colonies
PD40521_40	PD40521	colonies
PD40521_37	PD40521	colonies
PD40521_19	PD40521	colonies
PD40521_29	PD40521	colonies
PD40521_6	PD40521	colonies
PD40521_30	PD40521	colonies
PD40521_72	PD40521	colonies
PD40521_5	PD40521	colonies
PD40521_23	PD40521	colonies
PD40521_36	PD40521	colonies
PD40521_13	PD40521	colonies
PD40521_48	PD40521	colonies
PD40521_44	PD40521	colonies
PD40521_58	PD40521	colonies
PD40521_51	PD40521	colonies
PD40521_60	PD40521	colonies
PD40521_47	PD40521	colonies
PD40521_53	PD40521	colonies
PD40521_76	PD40521	colonies
PD40521_67	PD40521	colonies
PD40521_75	PD40521	colonies
PD40521_73	PD40521	colonies
PD40521_68	PD40521	colonies
PD40521_62	PD40521	colonies
PD40521_70	PD40521	colonies
PD40521_57	PD40521	colonies
PD40521_43	PD40521	colonies
PD40521_79	PD40521	colonies
PD40521_80	PD40521	colonies
PD40521_49	PD40521	colonies
PD40521_74	PD40521	colonies
PD40521_52	PD40521	colonies
PD40521_64	PD40521	colonies
PD41048_8	PD41048	colonies
PD41048_32	PD41048	colonies
PD41048_29	PD41048	colonies
PD41048_70	PD41048	colonies
PD41048_67	PD41048	colonies
PD41048_139	PD41048	colonies
PD41048_180	PD41048	colonies
PD41048_122	PD41048	colonies
PD41048_181	PD41048	colonies
PD41048_137	PD41048	colonies
PD41048_172	PD41048	colonies
PD41048_186	PD41048	colonies
PD41048_20	PD41048	colonies
PD41048_34	PD41048	colonies
PD41048_152	PD41048	colonies
PD41048_128	PD41048	colonies
PD41048_113	PD41048	colonies
PD41048_147	PD41048	colonies
PD41048_183	PD41048	colonies
PD41048_45	PD41048	colonies
PD41048_111	PD41048	colonies
PD41048_60	PD41048	colonies
PD41048_150	PD41048	colonies
PD41048_51	PD41048	colonies
PD41048_49	PD41048	colonies
PD41048_102	PD41048	colonies
PD41048_133	PD41048	colonies
PD41048_142	PD41048	colonies
PD41048_117	PD41048	colonies
PD41048_184	PD41048	colonies
PD41048_191	PD41048	colonies
PD41048_129	PD41048	colonies
PD41048_140	PD41048	colonies
PD41048_55	PD41048	colonies
PD41048_43	PD41048	colonies
PD41048_97	PD41048	colonies
PD41048_134	PD41048	colonies
PD41048_86	PD41048	colonies
PD41048_153	PD41048	colonies
PD41048_166	PD41048	colonies
PD41048_393	PD41048	colonies
PD41048_14	PD41048	colonies
PD41048_192	PD41048	colonies
PD41048_135	PD41048	colonies
PD41048_194	PD41048	colonies
PD41048_61	PD41048	colonies
PD41048_13	PD41048	colonies
PD41048_124	PD41048	colonies
PD41048_116	PD41048	colonies
PD41048_198	PD41048	colonies
PD41048_9	PD41048	colonies
PD41048_143	PD41048	colonies
PD41048_141	PD41048	colonies
PD41048_50	PD41048	colonies
PD41048_112	PD41048	colonies
PD41048_155	PD41048	colonies
PD41048_47	PD41048	colonies
PD41048_41	PD41048	colonies
PD41048_91	PD41048	colonies
PD41048_177	PD41048	colonies
PD41048_161	PD41048	colonies
PD41048_197	PD41048	colonies
PD41048_187	PD41048	colonies
PD41048_127	PD41048	colonies
PD41048_12	PD41048	colonies
PD41048_167	PD41048	colonies
PD41048_37	PD41048	colonies
PD41048_88	PD41048	colonies
PD41048_154	PD41048	colonies
PD41048_126	PD41048	colonies
PD41048_68	PD41048	colonies
PD41048_44	PD41048	colonies
PD41048_25	PD41048	colonies
PD41048_74	PD41048	colonies
PD41048_99	PD41048	colonies
PD41048_125	PD41048	colonies
PD41048_42	PD41048	colonies
PD41048_85	PD41048	colonies
PD41048_95	PD41048	colonies
PD41048_82	PD41048	colonies
PD41048_71	PD41048	colonies
PD41048_40	PD41048	colonies
PD41048_176	PD41048	colonies
PD41048_119	PD41048	colonies
PD41048_193	PD41048	colonies
PD41048_48	PD41048	colonies
PD41048_92	PD41048	colonies
PD41048_54	PD41048	colonies
PD41048_189	PD41048	colonies
PD41048_83	PD41048	colonies
PD41048_90	PD41048	colonies
PD41048_78	PD41048	colonies
PD41048_121	PD41048	colonies
PD41048_66	PD41048	colonies
PD41048_1	PD41048	colonies
PD41048_103	PD41048	colonies
PD41048_149	PD41048	colonies
PD41048_31	PD41048	colonies
PD41048_123	PD41048	colonies
PD41048_19	PD41048	colonies
PD41048_158	PD41048	colonies
PD41048_156	PD41048	colonies
PD41048_2	PD41048	colonies
PD41048_106	PD41048	colonies
PD41048_22	PD41048	colonies
PD41048_94	PD41048	colonies
PD41048_10	PD41048	colonies
