Sample	Patient	Method
PD47703-1_191	PD47703	colonies
PD47703-1_193	PD47703	colonies
PD47703-1_61	PD47703	colonies
PD47703-1_130	PD47703	colonies
PD47703-1_18	PD47703	colonies
PD47703-1_48	PD47703	colonies
PD47703-1_84	PD47703	colonies
PD47703-1_303	PD47703	colonies
PD47703-1_17	PD47703	colonies
PD47703-1_81	PD47703	colonies
PD47703-1_139	PD47703	colonies
PD47703-1_63	PD47703	colonies
PD47703-1_22	PD47703	colonies
PD47703-1_224	PD47703	colonies
PD47703-1_98	PD47703	colonies
PD47703-1_232	PD47703	colonies
PD47703-1_8	PD47703	colonies
PD47703-1_135	PD47703	colonies
PD47703-1_140	PD47703	colonies
PD47703-1_151	PD47703	colonies
PD47703-1_333	PD47703	colonies
PD47703-1_227	PD47703	colonies
PD47703-1_125	PD47703	colonies
PD47703-1_127	PD47703	colonies
PD47703-1_210	PD47703	colonies
PD47703-1_59	PD47703	colonies
PD47703-1_209	PD47703	colonies
PD47703-1_113	PD47703	colonies
PD47703-1_281	PD47703	colonies
PD47703-1_187	PD47703	colonies
PD47703-1_229	PD47703	colonies
PD47703-1_121	PD47703	colonies
PD47703-1_5	PD47703	colonies
PD47703-1_126	PD47703	colonies
PD47703-1_77	PD47703	colonies
PD47703-1_285	PD47703	colonies
PD47703-1_230	PD47703	colonies
PD47703-1_283	PD47703	colonies
PD47703-1_348	PD47703	colonies
PD47703-1_12	PD47703	colonies
PD47703-1_9	PD47703	colonies
PD47703-1_134	PD47703	colonies
PD47703-1_332	PD47703	colonies
PD47703-1_108	PD47703	colonies
PD47703-1_23	PD47703	colonies
PD47703-1_11	PD47703	colonies
PD47703-1_73	PD47703	colonies
PD47703-1_114	PD47703	colonies
PD47703-1_175	PD47703	colonies
PD47703-1_273	PD47703	colonies
PD47703-1_67	PD47703	colonies
PD47703-1_28	PD47703	colonies
PD47703-1_71	PD47703	colonies
PD47703-1_233	PD47703	colonies
PD47703-1_354	PD47703	colonies
PD47703-1_337	PD47703	colonies
PD47703-1_148	PD47703	colonies
PD47703-1_97	PD47703	colonies
PD47703-1_301	PD47703	colonies
PD47703-1_215	PD47703	colonies
PD47703-1_384	PD47703	colonies
PD47703-1_338	PD47703	colonies
PD47703-1_145	PD47703	colonies
PD47703-1_3	PD47703	colonies
PD47703-1_220	PD47703	colonies
PD47703-1_228	PD47703	colonies
PD47703-1_221	PD47703	colonies
PD47703-1_225	PD47703	colonies
PD47703-1_284	PD47703	colonies
PD47703-1_398	PD47703	colonies
PD47703-1_343	PD47703	colonies
PD47703-1_234	PD47703	colonies
PD47703-1_335	PD47703	colonies
PD47703-1_344	PD47703	colonies
PD47703-1_347	PD47703	colonies
PD47703-1_231	PD47703	colonies
PD47703-1_213	PD47703	colonies
PD47703-1_253	PD47703	colonies
PD47703-1_223	PD47703	colonies
PD47703-1_216	PD47703	colonies
PD47703-1_305	PD47703	colonies
PD47703-1_214	PD47703	colonies
PD47703-1_389	PD47703	colonies
PD47703-1_342	PD47703	colonies
PD47703-1_212	PD47703	colonies
PD47703-1_295	PD47703	colonies
PD47703-1_373	PD47703	colonies
PD47703-1_349	PD47703	colonies
PD47703-1_336	PD47703	colonies
PD47703-1_353	PD47703	colonies
PD47703-1_341	PD47703	colonies
PD47703-1_251	PD47703	colonies
PD47703-1_294	PD47703	colonies
PD47703-1_350	PD47703	colonies
PD47703-1_330	PD47703	colonies
PD47703-1_218	PD47703	colonies
PD47703-1_288	PD47703	colonies
PD47703-1_340	PD47703	colonies
PD47703-1_242	PD47703	colonies
PD47703-1_222	PD47703	colonies
PD47703-1_206	PD47703	colonies
PD47703-1_346	PD47703	colonies
PD47703-1_396	PD47703	colonies
PD47703-1_365	PD47703	colonies
PD47703-1_313	PD47703	colonies
PD47703-1_311	PD47703	colonies
PD47703-1_217	PD47703	colonies
PD47703-1_345	PD47703	colonies
PD47703-1_219	PD47703	colonies
PD47703-1_256	PD47703	colonies
PD47703-1_359	PD47703	colonies
PD47703-1_339	PD47703	colonies
PD47703-1_391	PD47703	colonies
PD47703-1_280	PD47703	colonies
PD47703-1_261	PD47703	colonies
PD47703-1_226	PD47703	colonies
PD47703-1_299	PD47703	colonies
PD47703-1_385	PD47703	colonies
PD47703-1_300	PD47703	colonies
PD47703-1_306	PD47703	colonies
PD47703-1_277	PD47703	colonies
PD47703-1_292	PD47703	colonies
PD47703-1_211	PD47703	colonies
PD47703-1_393	PD47703	colonies
PD47703-1_376	PD47703	colonies
PD47703-1_329	PD47703	colonies
PD47703-1_286	PD47703	colonies
PD47703-1_367	PD47703	colonies
PD47703-1_321	PD47703	colonies
PD47703-1_296	PD47703	colonies
PD47703-1_271	PD47703	colonies
PD47703-1_360	PD47703	colonies
PD47703-1_372	PD47703	colonies
PD47703-1_374	PD47703	colonies
PD47703-1_371	PD47703	colonies
PD47703-1_364	PD47703	colonies
PD47703-1_258	PD47703	colonies
PD47703-1_363	PD47703	colonies
PD47703-1_244	PD47703	colonies
PD47703-1_250	PD47703	colonies
PD47703-1_358	PD47703	colonies
PD47703-1_378	PD47703	colonies
PD47703-1_304	PD47703	colonies
PD47703-1_241	PD47703	colonies
PD47703-1_264	PD47703	colonies
PD47703-1_248	PD47703	colonies
PD47703-1_366	PD47703	colonies
PD47703-1_379	PD47703	colonies
PD47703-1_308	PD47703	colonies
PD47703-1_262	PD47703	colonies
PD47703-1_265	PD47703	colonies
PD47703-1_252	PD47703	colonies
PD47703-1_368	PD47703	colonies
PD47703-1_247	PD47703	colonies
PD47703-1_324	PD47703	colonies
PD47703-1_298	PD47703	colonies
PD47703-1_318	PD47703	colonies
PD47703-1_370	PD47703	colonies
PD47703-1_377	PD47703	colonies
PD47703-1_325	PD47703	colonies
PD47703-1_239	PD47703	colonies
PD47703-1_246	PD47703	colonies
PD47703-1_314	PD47703	colonies
PD47703-1_267	PD47703	colonies
PD47703-1_369	PD47703	colonies
PD47703-1_202	PD47703	colonies
PD47703-1_287	PD47703	colonies
PD47703-1_327	PD47703	colonies
PD47703-1_386	PD47703	colonies
PD47703-1_238	PD47703	colonies
PD47703-1_276	PD47703	colonies
PD47703-1_326	PD47703	colonies
PD47703-1_309	PD47703	colonies
PD47703-1_319	PD47703	colonies
PD47703-1_320	PD47703	colonies
PD47703-1_205	PD47703	colonies
PD47703-1_392	PD47703	colonies
PD47703-1_380	PD47703	colonies
PD47703-1_245	PD47703	colonies
PD47703-1_260	PD47703	colonies
PD47703-1_310	PD47703	colonies
PD47703-1_375	PD47703	colonies
PD47703-1_255	PD47703	colonies
PD47703-1_268	PD47703	colonies
PD47703-1_351	PD47703	colonies
PD47703-1_381	PD47703	colonies
PD47703-1_399	PD47703	colonies
PD47703-1_203	PD47703	colonies
PD47703-1_388	PD47703	colonies
PD47703-1_237	PD47703	colonies
PD47703-1_328	PD47703	colonies
PD47703-1_317	PD47703	colonies
PD47703-1_207	PD47703	colonies
PD47703-1_240	PD47703	colonies
PD47703-1_357	PD47703	colonies
PD47703-1_257	PD47703	colonies
PD47703-1_270	PD47703	colonies
PD47703-1_322	PD47703	colonies
PD47703-1_382	PD47703	colonies
PD47703-1_269	PD47703	colonies
PD47703-2_42	PD47703	colonies
PD47703-2_39	PD47703	colonies
PD47703-2_52	PD47703	colonies
PD47703-2_4	PD47703	colonies
PD47703-2_59	PD47703	colonies
PD47703-2_66	PD47703	colonies
PD47703-2_26	PD47703	colonies
PD47703-2_41	PD47703	colonies
PD47703-2_21	PD47703	colonies
PD47703-2_38	PD47703	colonies
PD47703-2_54	PD47703	colonies
PD47703-2_8	PD47703	colonies
PD47703-2_13	PD47703	colonies
PD47703-2_55	PD47703	colonies
PD47703-2_57	PD47703	colonies
PD47703-2_50	PD47703	colonies
PD47703-2_112	PD47703	colonies
PD47703-2_14	PD47703	colonies
PD47703-2_69	PD47703	colonies
PD47703-2_17	PD47703	colonies
PD47703-2_25	PD47703	colonies
PD47703-2_92	PD47703	colonies
PD47703-2_19	PD47703	colonies
PD47703-2_47	PD47703	colonies
PD47703-2_35	PD47703	colonies
PD47703-2_110	PD47703	colonies
PD47703-2_1	PD47703	colonies
PD47703-2_58	PD47703	colonies
PD47703-2_29	PD47703	colonies
PD47703-2_37	PD47703	colonies
PD47703-2_46	PD47703	colonies
PD47703-2_116	PD47703	colonies
PD47703-2_7	PD47703	colonies
PD47703-2_20	PD47703	colonies
PD47703-2_15	PD47703	colonies
PD47703-2_34	PD47703	colonies
PD47703-2_32	PD47703	colonies
PD47703-2_43	PD47703	colonies
PD47703-2_23	PD47703	colonies
PD47703-2_44	PD47703	colonies
PD47703-2_22	PD47703	colonies
PD47703-2_31	PD47703	colonies
PD47703-2_80	PD47703	colonies
PD47703-2_49	PD47703	colonies
PD47703-2_12	PD47703	colonies
PD47703-2_90	PD47703	colonies
PD47703-2_53	PD47703	colonies
PD47703-2_9	PD47703	colonies
PD47703-2_99	PD47703	colonies
PD47703-2_56	PD47703	colonies
PD47703-2_28	PD47703	colonies
PD47703-2_51	PD47703	colonies
PD47703-2_16	PD47703	colonies
PD47703-2_93	PD47703	colonies
PD47703-2_33	PD47703	colonies
PD47703-2_18	PD47703	colonies
PD47703-2_3	PD47703	colonies
PD47703-2_98	PD47703	colonies
PD47703-2_68	PD47703	colonies
PD47703-2_24	PD47703	colonies
PD47703-2_100	PD47703	colonies
PD47703-2_48	PD47703	colonies
PD47703-2_36	PD47703	colonies
PD47703-2_30	PD47703	colonies
PD47703-2_103	PD47703	colonies
PD47703-2_5	PD47703	colonies
PD47703-2_95	PD47703	colonies
PD47703-2_109	PD47703	colonies
PD47703-2_74	PD47703	colonies
PD47703-2_102	PD47703	colonies
PD47703-2_45	PD47703	colonies
PD47703-2_111	PD47703	colonies
PD47703-2_78	PD47703	colonies
PD47703-2_40	PD47703	colonies
PD47703-2_11	PD47703	colonies
PD47703-2_67	PD47703	colonies
PD47703-2_10	PD47703	colonies
PD47703-2_27	PD47703	colonies
PD47703-2_2	PD47703	colonies
PD47703-2_97	PD47703	colonies
PD47703-2_101	PD47703	colonies
PD47703-2_75	PD47703	colonies
PD47703-2_91	PD47703	colonies
PD47703-2_104	PD47703	colonies
PD47703-2_6	PD47703	colonies
PD47703-2_70	PD47703	colonies
PD47703-2_105	PD47703	colonies
PD47703-2_96	PD47703	colonies
PD47703-2_113	PD47703	colonies
PD47703-2_94	PD47703	colonies
PD47703-2_72	PD47703	colonies
PD47703-2_77	PD47703	colonies
PD47703-2_83	PD47703	colonies
PD47703-2_76	PD47703	colonies
PD47703-2_89	PD47703	colonies
PD47703-2_81	PD47703	colonies
PD47703-2_71	PD47703	colonies
PD47703-2_115	PD47703	colonies
PD47703-2_114	PD47703	colonies
PD47703-2_73	PD47703	colonies
PD47703-2_62	PD47703	colonies
PD47703-2_84	PD47703	colonies
PD47703-2_106	PD47703	colonies
PD47703-2_108	PD47703	colonies
PD47703-2_64	PD47703	colonies
PD47703-2_85	PD47703	colonies
PD47703-2_65	PD47703	colonies
PD47703-2_117	PD47703	colonies
PD47703-2_107	PD47703	colonies
PD47703-2_61	PD47703	colonies
PD47703-2_79	PD47703	colonies
PD47703-2_87	PD47703	colonies
PD47703-2_82	PD47703	colonies
PD47703-2_86	PD47703	colonies
PD47738_4	PD47738	colonies
PD47738_8	PD47738	colonies
PD47738_7	PD47738	colonies
PD47738_6	PD47738	colonies
PD47738_9	PD47738	colonies
PD47738_2	PD47738	colonies
PD47738_5	PD47738	colonies
PD47738_10	PD47738	colonies
PD47738_1	PD47738	colonies
PD47738_3	PD47738	colonies
PD47738_12	PD47738	colonies
PD47738_14	PD47738	colonies
PD47738_17	PD47738	colonies
PD47738_18	PD47738	colonies
PD47738_13	PD47738	colonies
PD47738_16	PD47738	colonies
PD48402_3	PD48402	colonies
PD48402_1	PD48402	colonies
PD48402_7	PD48402	colonies
PD48402_9	PD48402	colonies
PD48402_2	PD48402	colonies
PD48402_6	PD48402	colonies
PD48402_4	PD48402	colonies
PD48402_8	PD48402	colonies
PD48402_10	PD48402	colonies
PD48402_5	PD48402	colonies
PD48402_16	PD48402	colonies
PD48402_15	PD48402	colonies
PD48402_13	PD48402	colonies
PD48402_12	PD48402	colonies
PD48402_17	PD48402	colonies
PD48402_14	PD48402	colonies
PD49236_6	PD49236	colonies
PD49236_58	PD49236	colonies
PD49236_32	PD49236	colonies
PD49236_132	PD49236	colonies
PD49236_34	PD49236	colonies
PD49236_41	PD49236	colonies
PD49236_99	PD49236	colonies
PD49236_73	PD49236	colonies
PD49236_336	PD49236	colonies
PD49236_173	PD49236	colonies
PD49236_117	PD49236	colonies
PD49236_28	PD49236	colonies
PD49236_133	PD49236	colonies
PD49236_65	PD49236	colonies
PD49236_112	PD49236	colonies
PD49236_43	PD49236	colonies
PD49236_127	PD49236	colonies
PD49236_257	PD49236	colonies
PD49236_11	PD49236	colonies
PD49236_16	PD49236	colonies
PD49236_9	PD49236	colonies
PD49236_85	PD49236	colonies
PD49236_66	PD49236	colonies
PD49236_48	PD49236	colonies
PD49236_107	PD49236	colonies
PD49236_15	PD49236	colonies
PD49236_72	PD49236	colonies
PD49236_108	PD49236	colonies
PD49236_119	PD49236	colonies
PD49236_126	PD49236	colonies
PD49236_163	PD49236	colonies
PD49236_103	PD49236	colonies
PD49236_140	PD49236	colonies
PD49236_95	PD49236	colonies
PD49236_46	PD49236	colonies
PD49236_50	PD49236	colonies
PD49236_23	PD49236	colonies
PD49236_102	PD49236	colonies
PD49236_76	PD49236	colonies
PD49236_63	PD49236	colonies
PD49236_235	PD49236	colonies
PD49236_167	PD49236	colonies
PD49236_101	PD49236	colonies
PD49236_123	PD49236	colonies
PD49236_282	PD49236	colonies
PD49236_162	PD49236	colonies
PD49236_122	PD49236	colonies
PD49236_91	PD49236	colonies
PD49236_286	PD49236	colonies
PD49236_158	PD49236	colonies
PD49236_319	PD49236	colonies
PD49236_160	PD49236	colonies
PD49236_151	PD49236	colonies
PD49236_54	PD49236	colonies
PD49236_161	PD49236	colonies
PD49236_24	PD49236	colonies
PD49236_172	PD49236	colonies
PD49236_55	PD49236	colonies
PD49236_92	PD49236	colonies
PD49236_20	PD49236	colonies
PD49236_84	PD49236	colonies
PD49236_131	PD49236	colonies
PD49236_13	PD49236	colonies
PD49236_75	PD49236	colonies
PD49236_128	PD49236	colonies
PD49236_120	PD49236	colonies
PD49236_125	PD49236	colonies
PD49236_44	PD49236	colonies
PD49236_37	PD49236	colonies
PD49236_39	PD49236	colonies
PD49236_87	PD49236	colonies
PD49236_69	PD49236	colonies
PD49236_53	PD49236	colonies
PD49236_70	PD49236	colonies
PD49236_250	PD49236	colonies
PD49236_52	PD49236	colonies
PD49236_10	PD49236	colonies
PD49236_115	PD49236	colonies
PD49236_64	PD49236	colonies
PD49236_38	PD49236	colonies
PD49236_45	PD49236	colonies
PD49236_89	PD49236	colonies
PD49236_17	PD49236	colonies
PD49236_253	PD49236	colonies
PD49236_3	PD49236	colonies
PD49236_27	PD49236	colonies
PD49236_40	PD49236	colonies
PD49236_18	PD49236	colonies
PD49236_104	PD49236	colonies
PD49236_33	PD49236	colonies
PD49236_121	PD49236	colonies
PD49236_71	PD49236	colonies
PD49236_51	PD49236	colonies
PD49236_148	PD49236	colonies
PD49236_166	PD49236	colonies
PD49236_340	PD49236	colonies
PD49236_94	PD49236	colonies
PD49236_78	PD49236	colonies
PD49236_86	PD49236	colonies
PD49236_35	PD49236	colonies
PD49236_26	PD49236	colonies
PD49236_313	PD49236	colonies
PD49236_7	PD49236	colonies
PD49236_124	PD49236	colonies
PD49236_60	PD49236	colonies
PD49236_285	PD49236	colonies
PD49236_82	PD49236	colonies
PD49236_96	PD49236	colonies
PD49236_56	PD49236	colonies
PD49236_152	PD49236	colonies
PD49236_268	PD49236	colonies
PD49236_129	PD49236	colonies
PD49236_61	PD49236	colonies
PD49236_77	PD49236	colonies
PD49236_83	PD49236	colonies
PD49236_67	PD49236	colonies
PD49236_109	PD49236	colonies
PD49236_49	PD49236	colonies
PD49236_79	PD49236	colonies
PD49236_113	PD49236	colonies
PD49236_156	PD49236	colonies
PD49236_21	PD49236	colonies
PD49236_143	PD49236	colonies
PD49236_19	PD49236	colonies
PD49236_31	PD49236	colonies
PD49236_29	PD49236	colonies
PD49236_135	PD49236	colonies
PD49236_93	PD49236	colonies
PD49236_4	PD49236	colonies
PD49236_90	PD49236	colonies
PD49236_312	PD49236	colonies
PD49236_36	PD49236	colonies
PD49236_164	PD49236	colonies
PD49236_12	PD49236	colonies
PD49236_168	PD49236	colonies
PD49236_141	PD49236	colonies
PD49236_98	PD49236	colonies
PD49236_105	PD49236	colonies
PD49236_169	PD49236	colonies
PD49236_249	PD49236	colonies
PD49236_142	PD49236	colonies
PD49236_111	PD49236	colonies
PD49236_118	PD49236	colonies
PD49236_97	PD49236	colonies
PD49236_25	PD49236	colonies
PD49236_47	PD49236	colonies
PD49236_81	PD49236	colonies
PD49236_74	PD49236	colonies
PD49236_42	PD49236	colonies
PD49236_5	PD49236	colonies
PD49236_136	PD49236	colonies
PD49236_130	PD49236	colonies
PD49236_165	PD49236	colonies
PD49236_88	PD49236	colonies
PD49236_100	PD49236	colonies
PD49236_154	PD49236	colonies
PD49236_1	PD49236	colonies
PD49236_30	PD49236	colonies
PD49236_2	PD49236	colonies
PD49236_22	PD49236	colonies
PD49236_8	PD49236	colonies
PD49236_116	PD49236	colonies
PD49236_14	PD49236	colonies
PD49236_153	PD49236	colonies
PD49236_147	PD49236	colonies
PD49236_292	PD49236	colonies
PD49236_137	PD49236	colonies
PD49236_155	PD49236	colonies
PD49236_327	PD49236	colonies
PD49236_171	PD49236	colonies
PD49236_276	PD49236	colonies
PD49236_331	PD49236	colonies
PD49236_146	PD49236	colonies
PD49236_139	PD49236	colonies
PD49236_252	PD49236	colonies
PD49236_317	PD49236	colonies
PD49236_57	PD49236	colonies
PD49236_145	PD49236	colonies
PD49236_284	PD49236	colonies
PD49236_62	PD49236	colonies
PD49236_170	PD49236	colonies
PD49236_159	PD49236	colonies
PD49236_59	PD49236	colonies
PD49236_183	PD49236	colonies
PD49236_106	PD49236	colonies
PD49236_149	PD49236	colonies
PD49236_144	PD49236	colonies
PD49236_265	PD49236	colonies
PD49236_150	PD49236	colonies
PD49236_239	PD49236	colonies
PD49236_110	PD49236	colonies
PD49236_138	PD49236	colonies
PD49236_279	PD49236	colonies
PD49236_318	PD49236	colonies
PD49236_243	PD49236	colonies
PD49236_114	PD49236	colonies
PD49236_134	PD49236	colonies
PD49236_68	PD49236	colonies
PD49236_204	PD49236	colonies
PD49236_275	PD49236	colonies
PD49236_273	PD49236	colonies
PD49236_80	PD49236	colonies
PD49236_316	PD49236	colonies
PD49236_256	PD49236	colonies
PD49236_207	PD49236	colonies
PD49236_333	PD49236	colonies
PD49236_335	PD49236	colonies
PD49236_193	PD49236	colonies
PD49236_326	PD49236	colonies
PD49236_211	PD49236	colonies
PD49236_299	PD49236	colonies
PD49236_328	PD49236	colonies
PD49236_246	PD49236	colonies
PD49236_242	PD49236	colonies
PD49236_203	PD49236	colonies
PD49236_330	PD49236	colonies
PD49236_251	PD49236	colonies
PD49236_248	PD49236	colonies
PD49236_277	PD49236	colonies
PD49236_157	PD49236	colonies
PD49236_323	PD49236	colonies
PD49236_254	PD49236	colonies
PD49236_210	PD49236	colonies
PD49236_308	PD49236	colonies
PD49236_231	PD49236	colonies
PD49236_325	PD49236	colonies
PD49236_274	PD49236	colonies
PD49236_258	PD49236	colonies
PD49236_247	PD49236	colonies
PD49236_176	PD49236	colonies
PD49236_332	PD49236	colonies
PD49236_197	PD49236	colonies
PD49236_225	PD49236	colonies
PD49236_293	PD49236	colonies
PD49236_334	PD49236	colonies
PD49236_191	PD49236	colonies
PD49236_244	PD49236	colonies
PD49236_303	PD49236	colonies
PD49236_206	PD49236	colonies
PD49236_263	PD49236	colonies
PD49236_228	PD49236	colonies
PD49236_283	PD49236	colonies
PD49236_202	PD49236	colonies
PD49236_180	PD49236	colonies
PD49236_339	PD49236	colonies
PD49236_226	PD49236	colonies
PD49236_329	PD49236	colonies
PD49236_344	PD49236	colonies
PD49236_240	PD49236	colonies
PD49236_288	PD49236	colonies
PD49236_272	PD49236	colonies
PD49236_297	PD49236	colonies
PD49236_311	PD49236	colonies
PD49236_218	PD49236	colonies
PD49236_267	PD49236	colonies
PD49236_241	PD49236	colonies
PD49236_198	PD49236	colonies
PD49236_321	PD49236	colonies
PD49236_219	PD49236	colonies
PD49236_324	PD49236	colonies
PD49236_315	PD49236	colonies
PD49236_320	PD49236	colonies
PD49236_213	PD49236	colonies
PD49236_229	PD49236	colonies
PD49236_233	PD49236	colonies
PD49236_264	PD49236	colonies
PD49236_187	PD49236	colonies
PD49236_245	PD49236	colonies
PD49236_266	PD49236	colonies
PD49236_302	PD49236	colonies
PD49236_262	PD49236	colonies
PD49236_208	PD49236	colonies
PD49236_301	PD49236	colonies
PD49236_190	PD49236	colonies
PD49236_255	PD49236	colonies
PD49236_215	PD49236	colonies
PD49236_322	PD49236	colonies
PD49236_189	PD49236	colonies
PD49236_304	PD49236	colonies
PD49236_200	PD49236	colonies
PD49236_175	PD49236	colonies
PD49236_338	PD49236	colonies
PD49236_221	PD49236	colonies
PD49236_269	PD49236	colonies
PD49236_196	PD49236	colonies
PD49236_184	PD49236	colonies
PD49236_224	PD49236	colonies
PD49236_192	PD49236	colonies
PD49236_341	PD49236	colonies
PD49236_230	PD49236	colonies
PD49236_232	PD49236	colonies
PD49236_214	PD49236	colonies
PD49236_307	PD49236	colonies
PD49236_259	PD49236	colonies
PD49236_280	PD49236	colonies
PD49236_260	PD49236	colonies
PD49236_238	PD49236	colonies
PD49236_182	PD49236	colonies
PD49236_199	PD49236	colonies
PD49236_205	PD49236	colonies
PD49236_270	PD49236	colonies
PD49236_305	PD49236	colonies
PD49236_195	PD49236	colonies
PD49236_278	PD49236	colonies
PD49236_343	PD49236	colonies
PD49236_185	PD49236	colonies
PD49236_220	PD49236	colonies
PD49236_287	PD49236	colonies
PD49236_181	PD49236	colonies
PD49236_209	PD49236	colonies
PD49236_310	PD49236	colonies
PD49236_227	PD49236	colonies
PD49236_294	PD49236	colonies
PD49236_261	PD49236	colonies
PD49237_32	PD49237	colonies
PD49237_2	PD49237	colonies
PD49237_20	PD49237	colonies
PD49237_38	PD49237	colonies
PD49237_35	PD49237	colonies
PD49237_36	PD49237	colonies
PD49237_30	PD49237	colonies
PD49237_6	PD49237	colonies
PD49237_31	PD49237	colonies
PD49237_7	PD49237	colonies
PD49237_9	PD49237	colonies
PD49237_4	PD49237	colonies
PD49237_22	PD49237	colonies
PD49237_24	PD49237	colonies
PD49237_11	PD49237	colonies
PD49237_25	PD49237	colonies
PD49237_12	PD49237	colonies
PD49237_39	PD49237	colonies
PD49237_17	PD49237	colonies
PD49237_33	PD49237	colonies
PD49237_29	PD49237	colonies
PD49237_34	PD49237	colonies
PD49237_16	PD49237	colonies
PD49237_3	PD49237	colonies
PD49237_41	PD49237	colonies
PD49237_8	PD49237	colonies
PD49237_43	PD49237	colonies
PD49237_10	PD49237	colonies
PD49237_5	PD49237	colonies
PD49237_28	PD49237	colonies
PD49237_1	PD49237	colonies
PD49237_14	PD49237	colonies
PD49237_18	PD49237	colonies
PD49237_42	PD49237	colonies
PD49237_23	PD49237	colonies
PD49237_48	PD49237	colonies
PD49237_13	PD49237	colonies
PD49237_37	PD49237	colonies
PD49237_27	PD49237	colonies
PD49237_26	PD49237	colonies
PD49237_15	PD49237	colonies
PD49237_19	PD49237	colonies
PD49237_21	PD49237	colonies
PD49237_44	PD49237	colonies
PD49237_40	PD49237	colonies
PD49237_61	PD49237	colonies
PD49237_63	PD49237	colonies
PD49237_85	PD49237	colonies
PD49237_51	PD49237	colonies
PD49237_83	PD49237	colonies
PD49237_79	PD49237	colonies
PD49237_77	PD49237	colonies
PD49237_74	PD49237	colonies
PD49237_49	PD49237	colonies
PD49237_87	PD49237	colonies
PD49237_59	PD49237	colonies
PD49237_69	PD49237	colonies
PD49237_65	PD49237	colonies
PD49237_62	PD49237	colonies
PD49237_64	PD49237	colonies
PD49237_76	PD49237	colonies
PD49237_67	PD49237	colonies
PD49237_68	PD49237	colonies
PD49237_70	PD49237	colonies
PD49237_82	PD49237	colonies
PD49237_54	PD49237	colonies
PD49237_80	PD49237	colonies
PD49237_47	PD49237	colonies
PD49237_53	PD49237	colonies
PD49237_78	PD49237	colonies
PD49237_66	PD49237	colonies
PD49237_60	PD49237	colonies
PD49237_81	PD49237	colonies
PD49237_75	PD49237	colonies
PD50306_9	PD50306	colonies
PD50306_4	PD50306	colonies
PD50306_1	PD50306	colonies
PD50306_8	PD50306	colonies
PD50306_3	PD50306	colonies
PD50306_2	PD50306	colonies
PD50306_6	PD50306	colonies
PD50306_7	PD50306	colonies
PD50306_5	PD50306	colonies
PD50306_15	PD50306	colonies
PD50306_14	PD50306	colonies
PD50306_11	PD50306	colonies
PD50306_13	PD50306	colonies
PD50307_22	PD50307	colonies
PD50307_33	PD50307	colonies
PD50307_3	PD50307	colonies
PD50307_19	PD50307	colonies
PD50307_2	PD50307	colonies
PD50307_31	PD50307	colonies
PD50307_1	PD50307	colonies
PD50307_38	PD50307	colonies
PD50307_11	PD50307	colonies
PD50307_4	PD50307	colonies
PD50307_32	PD50307	colonies
PD50307_37	PD50307	colonies
PD50307_17	PD50307	colonies
PD50307_30	PD50307	colonies
PD50307_26	PD50307	colonies
PD50307_23	PD50307	colonies
PD50307_16	PD50307	colonies
PD50307_14	PD50307	colonies
PD50307_27	PD50307	colonies
PD50307_36	PD50307	colonies
PD50307_34	PD50307	colonies
PD50307_5	PD50307	colonies
PD50307_13	PD50307	colonies
PD50307_8	PD50307	colonies
PD50307_29	PD50307	colonies
PD50307_6	PD50307	colonies
PD50307_41	PD50307	colonies
PD50307_9	PD50307	colonies
PD50307_35	PD50307	colonies
PD50307_39	PD50307	colonies
PD50307_7	PD50307	colonies
PD50307_18	PD50307	colonies
PD50307_20	PD50307	colonies
PD50307_10	PD50307	colonies
PD50307_40	PD50307	colonies
PD50307_12	PD50307	colonies
PD50307_15	PD50307	colonies
PD50307_81	PD50307	colonies
PD50307_25	PD50307	colonies
PD50307_80	PD50307	colonies
PD50307_24	PD50307	colonies
PD50307_28	PD50307	colonies
PD50307_21	PD50307	colonies
PD50307_47	PD50307	colonies
PD50307_70	PD50307	colonies
PD50307_73	PD50307	colonies
PD50307_71	PD50307	colonies
PD50307_78	PD50307	colonies
PD50307_56	PD50307	colonies
PD50307_46	PD50307	colonies
PD50307_55	PD50307	colonies
PD50307_43	PD50307	colonies
PD50307_64	PD50307	colonies
PD50307_69	PD50307	colonies
PD50307_67	PD50307	colonies
PD50307_75	PD50307	colonies
PD50307_51	PD50307	colonies
PD50307_58	PD50307	colonies
PD50307_54	PD50307	colonies
PD50307_44	PD50307	colonies
PD50307_50	PD50307	colonies
PD50307_61	PD50307	colonies
PD50307_53	PD50307	colonies
PD50307_79	PD50307	colonies
PD50307_62	PD50307	colonies
PD50307_52	PD50307	colonies
PD50307_63	PD50307	colonies
PD50307_72	PD50307	colonies
PD50307_65	PD50307	colonies
PD50307_49	PD50307	colonies
PD50307_76	PD50307	colonies
PD50307_66	PD50307	colonies
PD50307_74	PD50307	colonies
PD50308_41	PD50308	colonies
PD50308_25	PD50308	colonies
PD50308_12	PD50308	colonies
PD50308_5	PD50308	colonies
PD50308_23	PD50308	colonies
PD50308_39	PD50308	colonies
PD50308_1	PD50308	colonies
PD50308_19	PD50308	colonies
PD50308_36	PD50308	colonies
PD50308_32	PD50308	colonies
PD50308_37	PD50308	colonies
PD50308_21	PD50308	colonies
PD50308_34	PD50308	colonies
PD50308_35	PD50308	colonies
PD50308_26	PD50308	colonies
